"GEOID","JanTemp","JulyTemp","Precipitation"
"0655156",57.7,87.5,15.56
"0622804",61,89.2,14.29
"0602924",54.6,95.1,9.05
"0616350",61.8,99.3,8.49
"0643224",64,82.2,13.55
"0631414",58.3,80.5,18.84
"0659920",47.1,89.1,41.96
"0685684",51.9,93.7,25.9
"0671806",57.7,87.5,15.56
"0665000",57,99.4,6.86
"0619990",57.7,87.5,15.56
"0607162",47.3,79,63.43
"0644000",57.7,87.5,15.56
"0658240",48.1,86.8,21.84
"0644826",54.6,95.1,9.05
"0683542",54.6,95.1,9.05
"0677574",54.6,95.1,9.05
"0645400",57.7,87.5,15.56
"0626000",54.4,82.3,18.76
"0640130",57.7,87.5,15.56
"0613882",53.5,85.1,18.5
"0606567",47.3,79,63.43
"0633504",53,92.8,13.65
"0662625",49.5,89.7,23.13
"0629070",58.3,80.5,18.84
"0641880",57.7,87.5,15.56
"0683108",53.4,93.8,11.28
"0671000",54.3,79.7,42.05
"0648916",53,92.8,13.65
"0629112",61.8,99.3,8.49
"0678176",40,81.5,38.84
"0601164",48.1,86.8,21.84
"0606728",49,88.2,19.6
"0649600",54.6,95.1,9.05
"0612216",47.6,85.7,45.79
"0653503",54.6,95.1,9.05
"0655728",53,92.8,13.65
"0625300",49,88.2,19.6
"0613854",53.6,93.3,18.7
"0684928",39.2,83.8,20.42
"0670798",66.9,105.9,3.38
"0640998",39.4,78.9,15.63
"0659290",49,88.2,19.6
"0656798",53.1,92.5,14.06
"0686489",48.1,86.8,21.84
"0614232",53.5,85.1,18.5
"0616644",49.9,88.6,32.82
"0660705",54.6,95.1,9.05
"0650146",47.3,79,63.43
"0653116",56.5,82.7,20.41
"0683863",54.6,95.1,9.05
"0683094",51.8,90.4,35.24
"0632156",54.3,97.6,7.61
"0651392",66.9,105.9,3.38
"0633084",66.9,105.9,3.38
"0621034",57.7,87.5,15.56
"0653182",56.5,82.7,20.41
"0654372",48.1,86.8,21.84
"0641194",57,99.4,6.86
"0607372",66.9,105.9,3.38
"0655422",66.9,105.9,3.38
"0617876",50.4,91.8,36.54
"0649045",53.9,94.7,20.02
"0604470",53.5,85.1,18.5
"0601150",57.7,87.5,15.56
"0623980",51.8,90.4,35.24
"0673612",58.4,85.8,20.11
"0641656",48.1,86.8,21.84
"0601094",40.7,81.9,41.24
"0656854",47.3,79,63.43
"0627014",49,88.2,19.6
"0673815",54.6,95.1,9.05
"0622235",48.1,86.8,21.84
"0640536",50.4,91.8,36.54
"0674144",53.4,93.8,11.28
"0668238",54.6,82.9,23.12
"0649768",40,81.5,38.84
"0603512",57,99.4,6.86
"0674021",54.6,95.1,9.05
"0607568",54.6,95.1,9.05
"0662168",53.6,95.9,18.99
"0653000",54.4,82.3,18.76
"0601514",51.8,90.4,35.24
"0660620",53.5,85.1,18.5
"0636084",49,88.2,19.6
"0668000",54.6,82.9,23.12
"0648354",53,92.8,13.65
"0602000",64,82.2,13.55
"0675000",53.1,92.5,14.06
"0648788",57,99.4,6.86
"0687056",57,99.4,6.86
"0672654",54.3,79.7,42.05
"0678106",50.4,91.8,36.54
"0686300",48.1,86.8,21.84
"0677924",53.5,85.1,18.5
"0641152",54.3,97.6,7.61
"0657876",51.5,83.2,51.64
"0607750",49,88.2,19.6
"0644378",54.6,82.9,23.12
"0622104",53.9,94.7,20.02
"0621691",54.6,95.1,9.05
"0616623",54.6,95.1,9.05
"0677595",53.1,92.5,14.06
"0611481",40,81.5,38.84
"0670098",54.3,79.7,42.05
"0644812",40,81.5,38.84
"0672632",56.5,82.7,20.41
"0653140",47.1,89.1,41.96
"0623182",53.8,88.8,19.8
"0636882",53.6,93.3,18.7
"0683304",52.2,91.2,34.28
"0611040",57.2,76.2,33.07
"0662980",53.4,70.9,35.5
"0631393",58,87.3,17.16
"0606560",51.2,92.3,44.43
"0680448",47.3,79,63.43
"0610928",61.8,99.3,8.49
"0668014",55.2,88,16.75
"0644112",54.6,82.9,23.12
"0653980",64,82.2,13.55
"0666140",57.7,87.5,15.56
"0636490",57.7,87.5,15.56
"0640410",53.6,93.3,18.7
"0638044",51.2,89.3,43.5
"0603302",54.3,97.6,7.61
"0656000",57.7,87.5,15.56
"0662000",61.8,99.3,8.49
"0683346",53.5,85.1,18.5
"0617498",57.7,87.5,15.56
"0673220",57.7,87.5,15.56
"0641908",39.2,83.8,20.42
"0629392",50.4,91.8,36.54
"0617708",48.1,86.8,21.84
"0620032",48.1,86.8,21.84
"0675280",48.1,86.8,21.84
"0686482",48.1,86.8,21.84
"0659584",61,89.2,14.29
"0656518",46.8,84.2,50.39
"0638394",54.3,97.6,7.61
"0675714",58.3,80.5,18.84
"0677784",51.5,83.2,51.64
"0644700",47.1,89.1,41.96
"0630812",54.3,79.7,42.05
"0602420",53.3,95.4,22.02
"0637918",52.1,95.6,6.24
"0656294",52.1,95.6,6.24
"0662860",57.7,87.5,15.56
"0668308",57.7,87.5,15.56
"0668266",58,87.3,17.16
"0673178",51.2,92.3,44.43
"0660088",47.3,79,63.43
"0607578",58.4,85.8,20.11
"0640592",58.4,85.8,20.11
"0655044",58.4,85.8,20.11
"0634302",61.8,99.3,8.49
"0646660",61.8,99.3,8.49
"0633861",53.4,93.8,11.28
"0684004",47.3,79,63.43
"0613910",39.2,83.8,20.42
"0686216",53.4,70.9,35.5
"0655751",49.5,89.7,23.13
"0603694",58.3,80.5,18.84
"0606935",58,87.3,17.16
"0685222",58,87.3,17.16
"0608716",49.9,88.6,32.82
"0648592",49,88.2,19.6
"0659906",47.3,79,63.43
"0660592",50.4,91.8,36.54
"0645386",51.5,83.2,51.64
"0615030",51.5,83.2,51.64
"0672492",46.8,84.2,50.39
"0620298",47.6,85.7,45.79
"0616762",53,92.8,13.65
"0640872",49.5,89.7,23.13
"0634708",49.9,88.6,32.82
"0604632",53.4,93.8,11.28
"0672338",54.6,95.1,9.05
"0621558",54.6,95.1,9.05
"0610914",40.7,81.9,41.24
"0617267",40.7,81.9,41.24
"0636364",40.7,81.9,41.24
"0673654",40.7,81.9,41.24
"0649796",57.2,76.2,33.07
"0655604",57.2,76.2,33.07
"0618986",61.8,99.3,8.49
"0661012",61.8,99.3,8.49
"0607246",54.3,79.7,42.05
"0664252",54.3,79.7,42.05
"0681312",53.4,93.8,11.28
"0611915",53.5,85.1,18.5
