"GEOID","houseincomeE","totpopE","medianageE","medincomeE"
"0100100",29263,335,18.5,23176
"0100124",35147,2309,56,19534
"0100460",58631,4325,43.7,28273
"0100484",47188,665,38.4,28077
"0100676",53929,310,37.9,21944
"0100820",89423,33417,39.9,42378
"0100988",55933,22433,32.8,28326
"0101132",42141,14788,41.2,26934
"0101180",95039,3748,40.9,35845
"0101228",30152,2325,34.7,16952
"0101396",61964,953,30.6,34097
"0101660",38750,1358,40.5,14813
"0101708",44196,8841,39.1,28697
"0101756",81250,241,57.2,48750
"0101852",45642,21502,42.1,24925
"0102116",56471,8552,38.7,33658
"0102260",39973,1304,33.9,33542
"0102320",87134,4416,29.9,47213
"0102428",33370,795,33.5,19697
"0102500",41458,569,32.9,18688
"0102836",51215,2476,37.8,27481
"0102860",30850,1674,42,17117
"0102908",54785,2438,40.3,26844
"0102956",57444,26179,41.3,32046
"0103004",30472,8465,43.3,20489
"0103028",51875,5849,48.1,33333
"0103076",55509,76660,25.9,27672
"0103220",41607,1047,34.7,28000
"0103364",52188,450,41.2,30188
"0103508",NA,269,52.8,NA
"0103556",59712,575,33.8,26406
"0103676",58155,982,33.8,34071
"0103724",50278,245,34.3,32250
"0103820",57582,1181,37,26090
"0103940",46250,302,30.7,37887
"0104660",36899,8159,35.6,22089
"0104684",40000,2215,42.4,26484
"0104852",38657,1549,41.3,21190
"0104900",33214,175,37.1,28015
"0104948",46875,187,51.9,19375
"0105140",37083,30,61.3,24167
"0105164",42200,347,40.2,16439
"0105188",NA,113,58.5,40529
"0105212",46944,699,44,17639
"0105692",44583,27,61.2,43958
"0105812",61250,532,48.1,32188
"0105932",45329,983,45.4,21359
"0105980",34953,25890,41.8,21375
"0106460",51250,64,57,27813
"0107000",42464,200431,35.9,25660
"0107120",55846,423,28.8,24599
"0107456",43455,1837,33.9,24903
"0107588",113571,1282,60.6,55169
"0107672",54167,106,49.7,32250
"0107912",43276,10248,35.9,24840
"0108104",14034,271,31.7,11250
"0108248",NA,58,52.3,17083
"0108272",58500,2791,39.9,49580
"0108680",33250,305,20,16429
"0109016",27375,927,39.4,23611
"0109064",37857,716,34.7,19611
"0109136",26250,2994,40.6,23770
"0109208",45881,5257,42.1,29722
"0109328",34000,2366,44.1,24375
"0109400",34471,2983,43.9,23471
"0109424",39318,1145,53.4,23859
"0109457",27333,219,50.9,32689
"0109500",73941,8008,36.4,48308
"0109736",55568,1157,46.9,27173
"0109808",75125,2420,34.7,37053
"0109880",NA,211,39.6,11250
"0110240",37627,2309,49.9,20149
"0110456",NA,20,NA,NA
"0111032",47250,2428,38.5,31250
"0111416",73775,16644,33.1,45103
"0111488",NA,70,NA,NA
"0111512",35583,2149,34.8,14000
"0111680",30931,1321,40,18200
"0112016",27581,1472,45.1,19224
"0112040",NA,26,38.5,14167
"0112070",55065,2232,33.6,26706
"0112112",NA,57,85.5,40438
"0112160",48750,279,38.6,36406
"0112304",28919,1043,31.6,23021
"0112496",NA,350,49.3,21282
"0112544",NA,0,NA,NA
"0112760",45861,1672,45.3,24132
"0113264",49886,16279,33.9,28289
"0113648",41924,3609,54.5,24798
"0113672",36777,2782,45.7,22587
"0114008",51324,702,57.4,22344
"0114104",102344,15201,37.9,53067
"0114152",50446,890,47.1,26917
"0114392",38985,6398,33.3,22511
"0114464",45483,4743,42,28709
"0114728",67975,2776,40.4,33850
"0114968",NA,152,49.3,NA
"0115064",54892,3930,37.6,24189
"0115136",48566,8776,40.4,30066
"0115256",74198,10315,40.1,34367
"0115304",51685,427,53.1,29814
"0115376",30938,2230,42.6,10588
"0115472",49387,1252,40.6,29382
"0115640",25290,1415,43.5,20783
"0116000",74032,2203,35.4,32387
"0116080",48243,1353,45.5,25887
"0116240",45388,196,53,28833
"0116264",26000,216,44.3,19167
"0116312",54559,1006,43.4,33496
"0116600",38438,2036,36.4,22969
"0116684",36250,257,44.8,21410
"0116744",61875,805,32.5,37762
"0116768",58214,4552,43.6,30860
"0116936",72724,1698,39.2,38365
"0117176",63365,1088,39.2,30363
"0117368",36339,1971,39.6,25703
"0117704",54688,3211,43.5,29120
"0117824",31591,1244,44.5,20806
"0117968",85625,278,25.9,36125
"0118040",39900,769,42.4,26458
"0118088",56845,2174,39.4,27077
"0118304",63125,2428,37.8,30139
"0118856",47750,2043,40.1,20787
"0118952",73333,327,54.9,41333
"0118976",59982,18434,42,34192
"0119024",NA,238,41.2,NA
"0119216",75729,140,49.5,32734
"0119336",46477,3062,42.8,22742
"0119360",42969,4901,40.6,27953
"0119648",80657,27861,37.6,41641
"0119744",62000,1793,60.8,40272
"0119816",63438,245,38.2,40469
"0119912",53125,67,45.3,2499
"0120008",106080,2514,29.1,50944
"0120104",55164,57525,40.4,31913
"0120152",136563,83,58.6,59875
"0120272",NA,130,32.5,31583
"0120296",51364,7080,39.8,29371
"0120392",NA,300,39.3,12163
"0120955",53750,527,43.6,28542
"0121136",55189,2718,43.4,25648
"0121184",53704,70699,40.4,30518
"0121280",31827,1361,36.8,18250
"0121328",48250,1001,27,24009
"0121448",43266,502,38.8,26923
"0121890",64107,1134,52.3,36322
"0121952",NA,451,32.9,22813
"0122088",147500,2746,46.6,46029
"0122216",40353,3215,28,25345
