"","GEOID","elevation"
"1","0655156",2627.95
"2","0622804",705.38
"3","1216525",39.37
"4","1205150",-13.12
"5","1730926",426.51
"6","1704013",800.52
"7","1722164",515.09
"8","1756640",705.38
"9","2148000",479
"10","2448775",1387.8
"11","0181720",249.34
"12","0129032",567.59
"13","3403520",0
"14","3658497",68.9
"15","3725940",246.06
"16","4825548",4146.98
"17","0179272",177.17
"18","0229180",32.81
"19","0183664",672.57
"20","0428380",1243.44
"21","0531150",672.57
"22","0546910",193.57
"23","0573370",436.35
"24","0530790",341.21
"25","0567550",285.43
"26","0602924",406.82
"27","0868655",8851.71
"28","1238250",177.17
"29","1254200",45.93
"30","1216875",98.43
"31","1267175",16.4
"32","1343192",1066.27
"33","1363840",341.21
"34","1323284",390.42
"35","1369336",187.01
"36","1362216",285.43
"37","1323368",170.6
"38","1685240",4025.59
"39","1622960",5111.55
"40","1732564",620.08
"41","1762965",633.2
"42","1747592",360.89
"43","1773027",495.41
"44","1773131",754.59
"45","1815994",935.04
"46","1876310",830.05
"47","1809874",961.29
"48","1847322",698.82
"49","1983415",1236.88
"50","1914475",1085.96
"51","1907075",774.28
"52","1908650",1154.86
"53","1987060",958.01
"54","2050525",1601.05
"55","2057675",1863.52
"56","2015475",2844.49
"57","2077850",941.6
"58","2023725",2414.7
"59","2124094",662.73
"60","2143900",649.61
"61","2132986",547.9
"62","2122348",449.48
"63","2143668",882.55
"64","2131402",541.34
"65","2203110",29.53
"66","2214485",213.25
"67","2210600",29.53
"68","2682780",1558.4
"69","2637860",787.4
"70","2610760",702.1
"71","2689320",587.27
"72","2731472",1272.97
"73","2769736",1322.18
"74","2720834",908.79
"75","2756482",1712.6
"76","2736620",1289.37
"77","2836000",328.08
"78","2866400",285.43
"79","2867840",124.67
"80","2815980",282.15
"81","2868720",275.59
"82","2909642",859.58
"83","2957926",295.28
"84","2972340",980.97
"85","2961994",272.31
"86","2971098",846.46
"87","2901576",715.22
"88","2938522",1000.66
"89","3124075",1929.13
"90","3152925",3408.79
"91","3115920",1332.02
"92","3107415",4944.23
"93","3113085",1381.23
"94","3139590",1407.48
"95","3464050",675.85
"96","3533290",4087.93
"97","3613233",16.4
"98","3611902",587.27
"99","3624867",1328.74
"100","3679499",757.87
"101","3748480",902.23
"102","3738060",741.47
"103","3752140",88.58
"104","3744560",324.8
"105","3718040",137.8
"106","3886780",1922.57
"107","3802860",816.93
"108","3862780",977.69
"109","3931542",980.97
"110","3975196",1076.12
"111","3935854",708.66
"112","3945220",800.52
"113","3950260",613.52
"114","3909834",800.52
"115","4025450",2145.67
"116","4039050",636.48
"117","4016400",1532.15
"118","4043000",902.23
"119","4017700",1167.98
"120","4053210",787.4
"121","4149600",377.3
"122","4181300",400.26
"123","4270056",1423.88
"124","4270384",423.23
"125","4222712",1988.19
"126","4205504",935.04
"127","4235960",912.07
"128","4217024",1213.91
"129","4576345",816.93
"130","4649460",1473.1
"131","4616060",1473.1
"132","4648940",1204.07
"133","4740200",462.6
"134","4862108",488.85
"135","4808860",695.54
"136","4811644",977.69
"137","4824864",1318.9
"138","4860668",2555.77
"139","4833044",2611.55
"140","4854960",3464.57
"141","4821112",351.05
"142","4982070",4478.35
"143","4908020",10085.3
"144","0854880",7083.33
"145","5333175",1003.94
"146","5440828",1158.14
"147","5478964",1450.13
"148","5436220",597.11
"149","5503550",1400.92
"150","5504025",751.31
"151","5566450",925.2
"152","1751882",583.99
"153","1718342",902.23
"154","1776225",652.89
"155","1848294",705.38
"156","1830024",390.42
"157","1922800",1023.62
"158","2180958",406.82
