January 2023 Contiguous U.S. County Maximum Temperature,,,,,,
Units: Degrees Fahrenheit,,,,,,
Missing: -99,,,,,,
Period of Record: 129 Years,,,,,,
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,Alabama,63.7,120,6.5,57.2
AL-003,Baldwin County,Alabama,68.7,124,7.2,61.5
AL-005,Barbour County,Alabama,63.5,111,4.8,58.7
AL-007,Bibb County,Alabama,61.6,117,6.3,55.3
AL-009,Blount County,Alabama,57.8,114,5.5,52.3
AL-011,Bullock County,Alabama,63.4,113,5.7,57.7
AL-013,Butler County,Alabama,65.1,116,6.1,59
AL-015,Calhoun County,Alabama,60,118,7,53
AL-017,Chambers County,Alabama,60.9,113,5.6,55.3
AL-019,Cherokee County,Alabama,58.7,120,6.9,51.8
AL-021,Chilton County,Alabama,62.6,121,6.9,55.7
AL-023,Choctaw County,Alabama,65,119,6.3,58.7
AL-025,Clarke County,Alabama,65.2,118,5.8,59.4
AL-027,Clay County,Alabama,60.7,119,6.7,54
AL-029,Cleburne County,Alabama,59.6,122,7.3,52.3
AL-031,Coffee County,Alabama,65.6,113,5.7,59.9
AL-033,Colbert County,Alabama,58.5,125,7.5,51
AL-035,Conecuh County,Alabama,66.2,115,5.9,60.3
AL-037,Coosa County,Alabama,62.3,121,6.7,55.7
AL-039,Covington County,Alabama,66.9,115,6.2,60.7
AL-041,Crenshaw County,Alabama,65,117,6.1,58.9
AL-043,Cullman County,Alabama,57.8,115,5.8,52
AL-045,Dale County,Alabama,65.2,111,5.4,59.8
AL-047,Dallas County,Alabama,63.6,117,6.3,57.3
AL-049,DeKalb County,Alabama,56.6,121,7,49.6
AL-051,Elmore County,Alabama,63.4,118,6.1,57.3
AL-053,Escambia County,Alabama,67.6,119,6.2,61.4
AL-055,Etowah County,Alabama,58.8,119,6.8,52
AL-057,Fayette County,Alabama,59.9,120,6.5,53.4
AL-059,Franklin County,Alabama,58.4,125,7.5,50.9
AL-061,Geneva County,Alabama,66.7,113,5.7,61
AL-063,Greene County,Alabama,62.7,122,7,55.7
AL-065,Hale County,Alabama,62,116,6.3,55.7
AL-067,Henry County,Alabama,64.7,110,4.9,59.8
AL-069,Houston County,Alabama,66.8,114,5.8,61
AL-071,Jackson County,Alabama,56.7,122,7.1,49.6
AL-073,Jefferson County,Alabama,60,115,6.1,53.9
AL-075,Lamar County,Alabama,60.5,121,7.2,53.3
AL-077,Lauderdale County,Alabama,57.9,125,7.4,50.5
AL-079,Lawrence County,Alabama,57.9,124,6.8,51.1
AL-081,Lee County,Alabama,62.1,112,5.3,56.8
AL-083,Limestone County,Alabama,57,119,6.6,50.4
AL-085,Lowndes County,Alabama,64.5,118,6.3,58.2
AL-087,Macon County,Alabama,63,114,5.3,57.7
AL-089,Madison County,Alabama,57,120,6.6,50.4
AL-091,Marengo County,Alabama,63.9,119,6.6,57.3
AL-093,Marion County,Alabama,59.1,123,7.2,51.9
AL-095,Marshall County,Alabama,57.7,121,7,50.7
