July 2023 Contiguous U.S. County Maximum Temperature,,,,,,
Units: Degrees Fahrenheit,,,,,,
Missing: -99,,,,,,
Period of Record: 129 Years,,,,,,
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,Alabama,93.5,109,1.8,91.7
AL-003,Baldwin County,Alabama,93.7,126,3,90.7
AL-005,Barbour County,Alabama,92,89,0.8,91.2
AL-007,Bibb County,Alabama,91.8,77,0.4,91.4
AL-009,Blount County,Alabama,89.5,53,-0.9,90.4
AL-011,Bullock County,Alabama,92.1,92,0.9,91.2
AL-013,Butler County,Alabama,92.7,101,1.2,91.5
AL-015,Calhoun County,Alabama,90.4,71,0,90.4
AL-017,Chambers County,Alabama,90.3,73,0.1,90.2
AL-019,Cherokee County,Alabama,90.1,57,-0.5,90.6
AL-021,Chilton County,Alabama,92.4,101,1.3,91.1
AL-023,Choctaw County,Alabama,93.4,106,1.5,91.9
AL-025,Clarke County,Alabama,92.6,90,0.7,91.9
AL-027,Clay County,Alabama,90.2,83,0.7,89.5
AL-029,Cleburne County,Alabama,89.3,73,0,89.3
AL-031,Coffee County,Alabama,92.8,101,1.5,91.3
AL-033,Colbert County,Alabama,90.2,45,-0.9,91.1
AL-035,Conecuh County,Alabama,92.1,77,0.3,91.8
AL-037,Coosa County,Alabama,91.7,92,1.1,90.6
AL-039,Covington County,Alabama,93.2,104,1.2,92
AL-041,Crenshaw County,Alabama,92.9,104,1.6,91.3
AL-043,Cullman County,Alabama,88.4,30,-2.1,90.5
AL-045,Dale County,Alabama,92.5,99,1.5,91
AL-047,Dallas County,Alabama,93.6,109,2.1,91.5
AL-049,DeKalb County,Alabama,87.5,47,-0.9,88.4
AL-051,Elmore County,Alabama,92.6,90,1,91.6
AL-053,Escambia County,Alabama,92.6,93,0.7,91.9
AL-055,Etowah County,Alabama,89.8,57,-0.4,90.2
AL-057,Fayette County,Alabama,90.9,57,-0.7,91.6
AL-059,Franklin County,Alabama,89.7,57,-0.7,90.4
AL-061,Geneva County,Alabama,92.9,102,1.5,91.4
AL-063,Greene County,Alabama,93,95,1,92
AL-065,Hale County,Alabama,93.1,102,1.6,91.5
AL-067,Henry County,Alabama,92,92,1,91
AL-069,Houston County,Alabama,92.6,96,1.2,91.4
AL-071,Jackson County,Alabama,87.9,49,-1,88.9
AL-073,Jefferson County,Alabama,91.2,69,0.1,91.1
AL-075,Lamar County,Alabama,91.4,63,-0.4,91.8
AL-077,Lauderdale County,Alabama,89.7,41,-1.2,90.9
AL-079,Lawrence County,Alabama,89.2,42,-1.3,90.5
