December 2022 - November 2023 Contiguous U.S. County Precipitation,,,,,,
Units: Inches,,,,,,
Missing: -99,,,,,,
Period of Record: 128 Years,,,,,,
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,Alabama,50.32,44,-3.18,53.5
AL-003,Baldwin County,Alabama,49.87,17,-12.04,61.91
AL-005,Barbour County,Alabama,48.67,46,-3.64,52.31
AL-007,Bibb County,Alabama,46.79,21,-8.39,55.18
AL-009,Blount County,Alabama,53.88,55,-1.66,55.54
AL-011,Bullock County,Alabama,53.45,71,1.38,52.07
AL-013,Butler County,Alabama,51.75,41,-3.93,55.68
AL-015,Calhoun County,Alabama,50.16,43,-3.18,53.34
AL-017,Chambers County,Alabama,55.47,75,2.17,53.3
AL-019,Cherokee County,Alabama,50.72,49,-2.82,53.54
AL-021,Chilton County,Alabama,49.76,36,-4.41,54.17
AL-023,Choctaw County,Alabama,56.06,61,-0.76,56.82
AL-025,Clarke County,Alabama,59.64,79,1.73,57.91
AL-027,Clay County,Alabama,58.67,86,2.85,55.82
AL-029,Cleburne County,Alabama,50.89,47,-3.03,53.92
AL-031,Coffee County,Alabama,50.61,39,-5.6,56.21
AL-033,Colbert County,Alabama,49.78,42,-3.76,53.54
AL-035,Conecuh County,Alabama,44.68,12,-13.33,58.01
AL-037,Coosa County,Alabama,55.53,68,0.91,54.62
AL-039,Covington County,Alabama,46.83,12,-11.8,58.63
AL-041,Crenshaw County,Alabama,56.22,76,0.87,55.35
AL-043,Cullman County,Alabama,56.66,71,0.58,56.08
AL-045,Dale County,Alabama,47.76,34,-6.65,54.41
AL-047,Dallas County,Alabama,48.9,36,-3.89,52.79
AL-049,DeKalb County,Alabama,51.79,44,-3.67,55.46
AL-051,Elmore County,Alabama,53.82,69,0.38,53.44
AL-053,Escambia County,Alabama,46,10,-14.44,60.44
AL-055,Etowah County,Alabama,50.92,43,-3.49,54.41
AL-057,Fayette County,Alabama,53.95,60,-2.3,56.25
AL-059,Franklin County,Alabama,53.19,53,-1.51,54.7
AL-061,Geneva County,Alabama,43.55,9,-13.67,57.22
AL-063,Greene County,Alabama,52.38,61,-0.56,52.94
AL-065,Hale County,Alabama,48.16,32,-5.56,53.72
AL-067,Henry County,Alabama,45.93,29,-7.42,53.35
AL-069,Houston County,Alabama,41.11,13,-13.06,54.17
AL-071,Jackson County,Alabama,49.15,31,-5.61,54.76
