"GEOID","TOPO","TOPO_DEF","TOPO_CAT"
"0655156","21","High mountains","Hills_and_Mountains"
"0622804","21","High mountains","Hills_and_Mountains"
"0602924","21","High mountains","Hills_and_Mountains"
"0616350","21","High mountains","Hills_and_Mountains"
"0643224","16","Open low mountains","Open_Hills_and_Mountains"
"0631414","21","High mountains","Hills_and_Mountains"
"0659920","21","High mountains","Hills_and_Mountains"
"0685684","21","High mountains","Hills_and_Mountains"
"0671806","21","High mountains","Hills_and_Mountains"
"0665000","11","Plains with low mountains","Plains_with_Hills_or_Mountains"
"0619990","21","High mountains","Hills_and_Mountains"
"0607162","21","High mountains","Hills_and_Mountains"
"0644000","21","High mountains","Hills_and_Mountains"
"0658240","21","High mountains","Hills_and_Mountains"
"0644826","21","High mountains","Hills_and_Mountains"
"0683542","21","High mountains","Hills_and_Mountains"
"0677574","21","High mountains","Hills_and_Mountains"
"0645400","21","High mountains","Hills_and_Mountains"
"0626000","16","Open low mountains","Open_Hills_and_Mountains"
"0640130","21","High mountains","Hills_and_Mountains"
"0613882","16","Open low mountains","Open_Hills_and_Mountains"
"0606567","21","High mountains","Hills_and_Mountains"
"0633504","20","Low mountains","Hills_and_Mountains"
"0662625","21","High mountains","Hills_and_Mountains"
"0629070","21","High mountains","Hills_and_Mountains"
"0641880","21","High mountains","Hills_and_Mountains"
"0683108","4","Irregular plains","Plains"
"0671000","20","Low mountains","Hills_and_Mountains"
"0648916","20","Low mountains","Hills_and_Mountains"
"0629112","21","High mountains","Hills_and_Mountains"
"0678176","21","High mountains","Hills_and_Mountains"
"0601164","21","High mountains","Hills_and_Mountains"
"0606728","21","High mountains","Hills_and_Mountains"
"0649600","21","High mountains","Hills_and_Mountains"
"0612216","21","High mountains","Hills_and_Mountains"
"0653503","21","High mountains","Hills_and_Mountains"
"0655728","20","Low mountains","Hills_and_Mountains"
"0625300","21","High mountains","Hills_and_Mountains"
"0613854","4","Irregular plains","Plains"
"0684928","11","Plains with low mountains","Plains_with_Hills_or_Mountains"
"0670798","11","Plains with low mountains","Plains_with_Hills_or_Mountains"
"0640998","21","High mountains","Hills_and_Mountains"
"0659290","21","High mountains","Hills_and_Mountains"
"0656798","4","Irregular plains","Plains"
"0686489","21","High mountains","Hills_and_Mountains"
"0614232","16","Open low mountains","Open_Hills_and_Mountains"
"0616644","21","High mountains","Hills_and_Mountains"
"0660705","21","High mountains","Hills_and_Mountains"
"0650146","21","High mountains","Hills_and_Mountains"
"0653116","21","High mountains","Hills_and_Mountains"
"0683863","21","High mountains","Hills_and_Mountains"
"0683094","20","Low mountains","Hills_and_Mountains"
"0632156","9","Plains with hills","Plains_with_Hills_or_Mountains"
"0651392","11","Plains with low mountains","Plains_with_Hills_or_Mountains"
"0633084","11","Plains with low mountains","Plains_with_Hills_or_Mountains"
"0621034","21","High mountains","Hills_and_Mountains"
"0653182","21","High mountains","Hills_and_Mountains"
"0654372","21","High mountains","Hills_and_Mountains"
"0641194","11","Plains with low mountains","Plains_with_Hills_or_Mountains"
"0607372","11","Plains with low mountains","Plains_with_Hills_or_Mountains"
"0655422","11","Plains with low mountains","Plains_with_Hills_or_Mountains"
"0617876","21","High mountains","Hills_and_Mountains"
"0649045","20","Low mountains","Hills_and_Mountains"
"0604470","16","Open low mountains","Open_Hills_and_Mountains"
"0601150","21","High mountains","Hills_and_Mountains"
"0623980","20","Low mountains","Hills_and_Mountains"
"0673612","21","High mountains","Hills_and_Mountains"
"0641656","21","High mountains","Hills_and_Mountains"
"0601094","21","High mountains","Hills_and_Mountains"
"0656854","21","High mountains","Hills_and_Mountains"
"0627014","21","High mountains","Hills_and_Mountains"
"0673815","21","High mountains","Hills_and_Mountains"
"0622235","21","High mountains","Hills_and_Mountains"
"0640536","21","High mountains","Hills_and_Mountains"
"0674144","4","Irregular plains","Plains"
"0668238","20","Low mountains","Hills_and_Mountains"
"0649768","21","High mountains","Hills_and_Mountains"
"0603512","11","Plains with low mountains","Plains_with_Hills_or_Mountains"
"0674021","21","High mountains","Hills_and_Mountains"
"0607568","21","High mountains","Hills_and_Mountains"
"0662168","1","Flat plains","Plains"
"0653000","16","Open low mountains","Open_Hills_and_Mountains"
"0601514","20","Low mountains","Hills_and_Mountains"
"0660620","16","Open low mountains","Open_Hills_and_Mountains"
"0636084","21","High mountains","Hills_and_Mountains"
"0668000","20","Low mountains","Hills_and_Mountains"
"0648354","20","Low mountains","Hills_and_Mountains"
"0602000","16","Open low mountains","Open_Hills_and_Mountains"
"0675000","4","Irregular plains","Plains"
"0648788","11","Plains with low mountains","Plains_with_Hills_or_Mountains"
"0687056","11","Plains with low mountains","Plains_with_Hills_or_Mountains"
"0672654","20","Low mountains","Hills_and_Mountains"
"0678106","21","High mountains","Hills_and_Mountains"
"0686300","21","High mountains","Hills_and_Mountains"
"0677924","16","Open low mountains","Open_Hills_and_Mountains"
"0641152","9","Plains with hills","Plains_with_Hills_or_Mountains"
"0657876","20","Low mountains","Hills_and_Mountains"
"0607750","21","High mountains","Hills_and_Mountains"
"0644378","20","Low mountains","Hills_and_Mountains"
"0622104","20","Low mountains","Hills_and_Mountains"
"0621691","21","High mountains","Hills_and_Mountains"
"0616623","21","High mountains","Hills_and_Mountains"
"0677595","4","Irregular plains","Plains"
"0611481","21","High mountains","Hills_and_Mountains"
"0670098","20","Low mountains","Hills_and_Mountains"
"0644812","21","High mountains","Hills_and_Mountains"
"0672632","21","High mountains","Hills_and_Mountains"
"0653140","21","High mountains","Hills_and_Mountains"
"0623182","16","Open low mountains","Open_Hills_and_Mountains"
